energy_kinetic,energy_potential,energy_skyrme,energy_total,field_norm,max_amplitude,topological_charge,structure_count,correlation_length,time,step
7.564255784838908,409540.1141766642,793.8515636916927,410341.52999614074,8000.0028959399715,1.0000063634754153,-1.786275945351934,0,0.0,0.0,0
3336.3559148819977,409622.37571665144,1879.999813180328,414838.7314447137,8001.278316505285,1.0028089228409378,-1.7905838442102087,0,0.0,0.002,20
12723.070822455711,409854.89522287756,4942.236536091122,427520.2025814244,8004.885644682432,1.0107353194823667,-1.8031366004352307,0,0.0,0.004,40
28183.648322584148,410239.6498794772,9984.153191445823,448407.4513935072,8010.861934263207,1.023866604092325,-1.8205683387318388,0,0.0,0.006,60
49744.34788651039,410779.8969298871,17011.506656338126,477535.7514727356,8019.268215424768,1.0423369761359045,-1.8415934779100018,0,0.0,0.008,80
77441.80237352762,411480.1801671684,26031.997639099445,514953.9801797954,8030.189597416271,1.066335043958336,-1.8526988900178274,0,0.0,0.01,100
111323.09137358429,412346.33890769095,37054.96303305476,560724.39331433,8043.735409954878,1.0961055877213153,-1.8665861000904849,0,0.0,0.012,120
151445.83386693522,413385.5193875277,50090.983408719985,614922.3366631829,8060.039381800072,1.1319518333680505,-1.9034917886443155,0,0.0,0.014,140
197878.2992617346,414606.1885042226,65151.40769926486,677635.895465222,8079.259854551225,1.174238247664656,-1.8600792854953316,0,0.0,0.016,160
250699.53573113313,416018.1498104293,82247.79836149469,748965.4839030572,8101.580029298751,1.2233938658682837,-1.7851045419716116,0,0.0,0.018000000000000002,180
309999.5146795466,417632.5616506186,101391.30195516342,829023.3782853286,8127.208243360631,1.2799161646544035,-1.700258608899693,0,0.0,0.02,200
375879.29013743065,419461.9573181066,122591.95222439419,917933.1996799315,8156.378273962769,1.3443754935242103,-1.7158239842174372,0,0.0,0.022000000000000002,220
448451.1719302751,421520.26709769375,145857.91541096393,1015829.3544389327,8189.3496653854145,1.4174200779426676,-1.8756999177782068,0,0.0,0.024,240
527838.9116053045,423822.8420500382,171194.6906715486,1122856.444326891,8226.408075813604,1.4997816068725478,-1.9266367863328364,0,0.0,0.026000000000000002,260
614177.9003404836,426386.47938846576,198604.28205257715,1239168.6617815266,8267.865639915435,1.5922814161296455,-1.996499226352872,0,0.0,0.028,280
707615.3784110721,429229.4492983673,228084.36237155917,1364929.1900809987,8314.061343048015,1.6965941518398617,-1.983666212583783,0,0.0,0.030000000000000002,300
808310.6562465531,432371.52305489016,259627.45334828345,1500309.6326497267,8365.361402980296,1.816657125381525,-1.966672765888771,5,0.0,0.032,320
916435.3476624023,435834.00230759237,293220.1501118467,1645489.5000818414,8422.159655147563,1.951651412729038,-1.9993809595743526,27,0.0,0.034,340
1032173.6164769668,439639.74942238815,328842.4213976095,1800655.7872969643,8484.87793773657,2.1032255274543146,-1.9953200122415247,79,0.0,0.036000000000000004,360
1155722.4384089047,443813.2188026185,366467.0189659925,1966002.6761775156,8553.966473362514,2.2732276466745516,-1.9232658983364876,201,0.0,0.038,380
1287291.8809086054,448380.4891533472,406059.0307658423,2141731.400827795,8629.904244752986,2.463726938727651,-2.0493186354361344,365,0.0,0.04,400
1427105.40447706,453369.2967065592,447575.6120645129,2328050.3132481324,8713.199362707184,2.677037107412858,-2.262159212055174,595,0.0,0.042,420
