energy_kinetic,energy_potential,energy_skyrme,energy_total,field_norm,max_amplitude,topological_charge,structure_count,correlation_length,time,step
0.5597873223630394,409540.11432561587,49.47109135871821,409590.1452042969,8000.00289103795,1.0000009025611984,-1.786265235369796,0,0.0,0.0,0
246.8863562442847,409622.38363541657,53.71055114180398,409922.98054280266,8001.275037384218,1.0003980839369517,-1.7858485270056907,0,0.0,0.002,20
941.2957418287665,409854.3046501814,65.66295128943749,410861.26334329956,8004.861139670943,1.0015179979439093,-1.7846720991534148,0,0.0,0.004,40
2084.4062367836004,410236.08070280956,85.3420974156102,412405.82903700875,8010.76394899324,1.0033623159272431,-1.7827272194659096,0,0.0,0.006,60
3677.2357213635323,410768.0465375932,112.7707047249011,414558.0529636816,8018.987994109246,1.0059337902441154,-1.7799997384073196,0,0.0,0.008,80
5721.202672493656,411450.6686454372,147.98040204940403,417319.85171998024,8029.53958548629,1.0092362582549543,-1.7764957300694284,0,0.0,0.01,100
8218.127570183682,412284.5457310829,191.01173751386148,420693.68503878044,8042.426820939469,1.013274647887369,-1.7721154365785368,0,0.0,0.012,120
11170.234702766984,413270.4093128681,241.91418587340968,424682.5582015085,8057.659592868075,1.0180549847800078,-1.7669282797584382,0,0.0,0.014,140
14580.154372934907,414409.1244557179,300.746157580873,429290.0249862337,8075.24959709707,1.0235844010157413,-1.7598172307673632,0,0.0,0.016,160
18450.92550697679,415701.69063820207,367.57500965313494,434520.19115483196,8095.210343332226,1.02987114545563,-1.7522016048907427,0,0.0,0.018000000000000002,180
22785.998670080207,417149.2427546598,442.47705841871385,440377.71848315874,8117.557167239255,1.0369245956871826,-1.7437340652261524,0,0.0,0.02,200
27589.239490994725,418753.05225354264,525.5375942413187,446867.8293387787,8142.307244158772,1.0447552716025477,-1.7334198437820858,0,0.0,0.022000000000000002,220
32864.932499817165,420514.5284132866,616.8508983268308,453996.3118114306,8169.479604470638,1.0533748506243277,-1.725905048642888,0,0.0,0.024,240
38617.785383117036,422435.2197571841,716.5202617338535,461769.525402035,8199.09515062275,1.0627961845988338,-1.7133246583900519,0,0.0,0.026000000000000002,260
44852.93366108893,424516.81560888863,824.6580067207043,470194.4072766983,8231.1766758411,1.0730333183787186,-1.6983594079938875,0,0.0,0.028,280
51575.94579189466,426761.1477903473,941.38551057444,479278.47909281636,8265.748884539556,1.0841015101190332,-1.6790600136568445,0,0.0,0.030000000000000002,300
58792.82870884256,429170.19246412866,1066.8332320802585,489029.8544050515,8302.838414449488,1.096017253312925,-1.616972368028614,0,0.0,0.032,320
66510.0337965456,431746.07212227694,1201.1407408023229,499457.24665962486,8342.47386049111,1.1087983005953195,-1.575038760210465,0,0.0,0.034,340
74734.46331270479,434491.0577240029,1344.456749359761,510569.97778606747,8384.68580041016,1.1224636893451314,-1.5370686041956154,0,0.0,0.036000000000000004,360
83473.4772626799,437407.570984696,1496.939148894215,522377.9873962701,8429.50682220528,1.1370337691187293,-1.4991788351030029,0,0.0,0.038,380
92734.90073453767,440498.186818921,1658.7550479379115,534891.8426013965,8476.9715533733,1.1525302309496044,-1.4552973288327598,0,0.0,0.04,400
102527.03170280882,443765.63594025385,1830.0808149036593,548122.7484579663,8527.11669200142,1.168976138551406,-1.4119883054275626,0,0.0,0.042,420
112858.64930973915,447212.80762099253,2011.102124430579,562082.5590551622,8579.981039737217,1.1863959614637962,-1.3669792700004306,0,0.0,0.044000000000000004,440
123739.02263339088,450842.7526149788,2202.0140078315467,576783.7892562012,8635.605536669249,1.2048156101828535,-1.328143104640207,0,0.0,0.046,460
135177.91995253428,454658.68624696316,2403.020907900383,592239.6271073979,8694.033298153063,1.2242624733200336,-1.286103898603663,0,0.0,0.048,480
147185.6185188731,458663.99167215015,2614.3367383486493,608463.9469293719,8755.309653619262,1.2447654568361115,-1.2478500473318463,0,0.0,0.05,500
159772.9148477659,462862.2233097706,2836.184948153514,625471.3231056901,8819.482187402555,1.266355025398824,-1.217736037508394,0,0.0,0.052000000000000005,520
