filename,timestep,global_charge,absolute_charge,charge_ratio,max_local_density,structure_count
snap_0000_trial000_step_000000.npz,0,1.666405274375124,1157.6056785899314,694.6723559365491,0.49899157003985545,22808
snap_0000_trial000_step_000200.npz,200,1.7693704761673466,1157.5427120593592,654.2116119810669,0.49935801196095886,22809
snap_0000_trial000_step_000400.npz,400,1.946994205702028,1157.3671810740334,594.4379172213733,0.4997259615895089,22888
snap_0000_trial000_step_000600.npz,600,2.041867368555594,1157.2344595462293,566.7530011011919,0.4975291536562152,22769
snap_0000_trial000_step_000800.npz,800,2.4621782661066156,1157.103669364523,469.95121548378887,0.49925195352904,22772
snap_0001_trial001_step_000000.npz,0,1.666405274375124,1157.6056785899314,694.6723559365491,0.49899157003985545,22808
snap_0001_trial001_step_000200.npz,200,1.7693704761673466,1157.5427120593592,654.2116119810669,0.49935801196095886,22809
snap_0001_trial001_step_000400.npz,400,1.946994205702028,1157.3671810740334,594.4379172213733,0.4997259615895089,22888
snap_0001_trial001_step_000600.npz,600,2.041867368555594,1157.2344595462293,566.7530011011919,0.4975291536562152,22769
snap_0001_trial001_step_000800.npz,800,2.4621782661066156,1157.103669364523,469.95121548378887,0.49925195352904,22772
snap_0002_trial002_step_000000.npz,0,1.666405274375124,1157.6056785899314,694.6723559365491,0.49899157003985545,22808
snap_0002_trial002_step_000200.npz,200,1.7693704761673466,1157.5427120593592,654.2116119810669,0.49935801196095886,22809
snap_0002_trial002_step_000400.npz,400,1.946994205702028,1157.3671810740334,594.4379172213733,0.4997259615895089,22888
snap_0002_trial002_step_000600.npz,600,2.041867368555594,1157.2344595462293,566.7530011011919,0.4975291536562152,22769
snap_0002_trial002_step_000800.npz,800,2.4621782661066156,1157.103669364523,469.95121548378887,0.49925195352904,22772
snap_0003_trial003_step_000000.npz,0,1.666405274375124,1157.6056785899314,694.6723559365491,0.49899157003985545,22808
snap_0003_trial003_step_000200.npz,200,1.7693704761673466,1157.5427120593592,654.2116119810669,0.49935801196095886,22809
