,energy_kinetic,energy_potential,energy_skyrme,energy_total,field_norm,max_amplitude,topological_charge,structure_count,correlation_length,time,step
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,3989296.2936323667,732705.7074095684,788002.8394667876,5510004.840508724,13304.648748015896,16.287369684293548,-2.8425352930946763,6257.5,0.0,0.09799999999999999,980.0
std,4428546.101505211,145486.77499337797,999230.7365404477,5573110.341208246,2725.619800610565,18.859487255910658,2.8854311121027982,7581.196856424589,0.0,1.4115032135209254e-17,0.0
min,637235.4155325022,620782.2987036613,11495.513972050194,1269513.2282082138,11224.032389139653,2.1570633970337925,-6.714157050908341,0.0,0.0,0.098,980.0
25%,642892.2794344347,623754.8777408745,11509.661347088777,1278156.818522398,11242.081519689542,2.160413753772027,-6.713071052899875,0.0,0.0,0.098,980.0
50%,1189064.5292623583,641184.7526376527,178478.63898364053,2008727.9208836518,11592.12329695897,4.220024112100384,-1.8198733111382501,2049.5,0.0,0.098,980.0
75%,10122212.548040517,930385.2270228156,2172077.7901822147,13224675.565245545,17075.967893444093,42.41627227378867,0.0055731838632311,16527.0,0.0,0.098,980.0
max,10155308.460262032,938942.335714752,2175976.7933320906,13270227.589308877,17101.564091904143,42.55042045696602,0.0061897836534285,16919.0,0.0,0.098,980.0
