energy_kinetic,energy_potential,energy_skyrme,energy_total,field_norm,max_amplitude,topological_charge,structure_count,correlation_length,time,step
7.560142700314427,408540.1127335333,793.8515625101082,409341.52443874377,8000.002881892053,1.0000063617201862,-1.7862759453524648,0,0.0,0.0,0
3334.5388305746455,408621.7387749079,1879.9986844711764,413836.27628995373,8001.272120550775,1.002808146977369,-1.7905838456331225,0,0.0,0.002,20
12716.109927809377,408852.46173154184,4942.225703811011,426510.7973631623,8004.862018145585,1.0107323425655799,-1.803136618187411,0,0.0,0.004,40
28168.113969348262,409234.24275284784,9984.1054158267,447386.4621380228,8010.8096030311945,1.0238599430385162,-1.820568412292942,0,0.0,0.006,60
49716.64735505326,409770.31257979857,17011.36393392155,476498.3238687734,8019.175863006819,1.042325053890055,-1.8415936332363592,0,0.0,0.008,80
77398.11484454003,410465.1778517082,26031.65901427988,513894.9517105281,8030.045847224774,1.0663161492486006,-1.8526989746689326,0,0.0,0.01,100
111259.30180718235,411324.62981672754,37054.272281808095,559638.2039057179,8043.528806497852,1.0960778313501514,-1.8665866933275035,0,0.0,0.012,120
151357.4654365024,412355.75537774997,50089.71655069489,613802.9373649473,8059.758370468984,1.1319130998839526,-1.903491997769346,0,0.0,0.014,140
197760.4439558177,413566.95038644876,65149.26028874947,676476.654631016,8078.892759680731,1.1741861411160943,-1.8600759469365622,0,0.0,0.016,160
250546.78269434633,414967.9350795945,82244.37250106876,747759.0902750096,8101.115030165561,1.2233256481581902,-1.7850973187541137,0,0.0,0.018000000000000002,180
309805.87581223005,416569.7715339723,101386.09296832539,827761.7403145276,8126.63334777698,1.2798286847829943,-1.7002503571937055,0,0.0,0.02,200
375638.12241314753,418384.88299957896,122584.33491544388,916607.3403281703,8155.6812891057325,1.3442651057224162,-1.7158722866052412,0,0.0,0.022000000000000002,220
448155.0958194114,420427.07495595433,145847.1298324005,1014429.3006077663,8188.518165485972,1.4172825463480736,-1.8757097037848154,0,0.0,0.024,240
527479.7249112558,422711.5577242587,171179.82731184026,1121371.1099473545,8225.429366308806,1.4996119939730743,-1.926654687944088,0,0.0,0.026000000000000002,260
613746.4866612715,425254.9704589692,198584.26635117034,1237585.723471411,8266.726717642487,1.592073951682918,-1.9965262485670798,0,0.0,0.028,280
707101.6093327266,428075.40633894806,228057.93846434535,1363234.95413602,8312.748852030338,1.6963434653620946,-1.9836054347954772,0,0.0,0.030000000000000002,300
807703.2862540919,431192.43877930904,259593.16694643282,1498488.8919798338,8363.861585321889,1.8163539311304706,-1.9667129049374166,0,0.0,0.032,320
915721.9006185207,434627.14849426685,293176.3304208977,1643525.3795336853,8420.458296512741,1.9512861924675047,-1.9993743401731943,5,0.0,0.034,340
