energy_kinetic,energy_potential,energy_skyrme,energy_total,field_norm,max_amplitude,topological_charge,structure_count,correlation_length,time,step
218191.22724963428,451656.53457455424,34607.398712182585,704455.160536371,8651.591461747934,1.4488838030166908,-1.2791700636416126,0,0.0,0.046,460
238686.81553249637,455626.8637075574,37809.10344787996,732122.7826879338,8713.008220617998,1.4941898351051865,-1.4093901499901949,0,0.0,0.048,480
260257.39985938015,459807.9810847549,41171.91424169224,761237.2951858274,8777.682477175664,1.5424257964565293,-1.46763322080891,0,0.0,0.05,500
282929.740924227,464205.4490323005,44698.70974156315,791833.8996980906,8845.699406034924,1.5937301950722165,-1.4574795617545266,0,0.0,0.052000000000000005,520
306731.94175459654,468825.11856841325,48392.438902132344,823949.4992251421,8917.148506575666,1.6482498924410556,-1.4322150308270476,0,0.0,0.054,540
331693.4787560873,473673.13721567654,52256.11716563536,857622.7331373992,8992.123708492316,1.7061404448533108,-1.4193397368745293,0,0.0,0.056,560
357845.2341941674,478755.9571970261,56292.82290033714,892894.0142915307,9070.72348213808,1.7675664609940367,-1.4120021272108076,0,0.0,0.058,580
385219.53015565133,484080.3440258881,60505.69415242978,929805.5683339692,9153.050953757956,1.832701976069372,-1.3997765751228484,0,0.0,0.060000000000000005,600
413850.16403683583,489653.38550164737,64897.92576927081,968401.475307754,9239.214025710662,1.9017308427139268,-1.4121168622009934,4,0.0,0.062,620
443772.44561041286,495482.5011223955,69472.76695331067,1008727.7136861191,9329.325501787447,1.9748471389196387,-1.3398791299081425,6,0.0,0.064,640
475023.2357286988,501575.45192772313,74233.51930699334,1050832.2069634153,9423.50321774373,2.0522555932159143,-1.2919759271833444,12,0.0,0.066,660
507640.9867264612,507940.3507851921,79183.5354292572,1094764.8729409105,9521.87017716832,2.1341720273171654,-1.1993072339335424,27,0.0,0.068,680
541665.7845926752,514585.6731350494,84326.21812398316,1140577.6758517078,9624.554692824202,2.2208238164356784,-1.1142480924670635,46,0.0,0.07,700
577139.3929869101,521520.2682087321,89665.02027981877,1188324.6814754608,9731.690533604668,2.312450367434485,-1.0618754363820526,79,0.0,0.07200000000000001,720
614105.2991827237,528753.370737759,95203.44547927022,1238062.115399753,9843.41707725913,2.409303614964559,-1.068986862739356,128,0.0,0.07400000000000001,740
652608.7620274317,536294.6131707247,100945.04939283269,1289848.4245909892,9959.879469053849,2.5160338044740405,-1.1331801171452074,191,0.0,0.076,760
692696.862014935,544154.0384172909,106893.4420112871,1343744.342443513,10081.228786544612,2.6293931369305232,-1.1277248098508004,266,0.0,0.078,780
734418.5535759293,552342.1131393331,113052.2907662038,1399812.9574814662,10207.62221065059,2.7497211385326326,-1.2983309035698618,358,0.0,0.08,800
777824.7196978041,560869.7416107344,119425.32458524033,1458119.7858937788,10339.223203231633,2.8774296134333874,-1.324165065340792,466,0.0,0.082,820
822968.2289948616,569748.2801687326,126016.33892507465,1518732.848088669,10476.201691384716,3.0129556447297308,-1.3389902999680388,623,0.0,0.084,840
869903.9953581538,578989.5522812272,132829.20182083303,1581722.7494602143,10618.734258689581,3.156763059002598,-1.5009475340923608,795,0.0,0.08600000000000001,860
918689.0403232104,588605.8642560461,139867.86098666242,1647162.765565919,10767.004343648423,3.3093439725289278,-1.6475314952386433,980,0.0,0.08800000000000001,880
969382.5583032079,598610.021619847,147136.35199763364,1715128.9319206886,10921.202445580031,3.4712204226983303,-1.7636106423269025,1229,0.0,0.09000000000000001,900
1022045.9848445927,609015.3461961234,154638.8075783406,1785700.138619057,11081.526338245,3.6429460882639173,-1.8003696478985944,1524,0.0,0.092,920
1076743.0680717744,619835.6939136531,162379.46801823683,1858958.2300036645,11248.181291495493,3.8251081021626545,-1.8052649507915677,1836,0.0,0.094,940
1133539.943497096,631085.4733787416,170362.69272772028,1934988.109603558,11421.380301260602,4.018328960760205,-1.826132460099783,2177,0.0,0.096,960
1192505.212381768,642779.665246714,178592.9729420484,2013877.8505705304,11601.344328196546,4.223268533511343,-1.8197089813866456,2547,0.0,0.098,980
